id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y,
11,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,"[[1.3944300837610308, 0.5411842966549574, -713.0539352115721], [0.00321064926040819, 5.743908101223622, -1305.957832261191], [3.963764628032079e-06, 0.003152321871024633, 1.0]]",437.8,840.8,309.4,975.2,276,275.8,663.2,663.2,
12,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,"[[0.7262369447394584, 0.2372467783227046, -272.2317646211022], [-0.020285772151691882, 3.426862054242274, -601.0585751864689], [-1.1993621433488588e-05, 0.001485960484102781, 1.0]]",344,898.6,234,1033.2,236.4,239.6,635.8,639.6,
13,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,"[[1.281405234951083, 0.6951423359333055, -664.4392865039949], [-0.009499199111993423, 7.0155974102612975, -1892.9536826648616], [-1.290124685695309e-05, 0.003771542410483455, 1.0]]",389.2,900.8,218,1051.2,317.2,317.8,682.4,682.2,
14,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,"[[1.3442090180800852, 0.5412572915043201, -679.5173284715789], [0.014416332702601212, 5.433019161320186, -1101.0016193565941], [1.3648009033570338e-05, 0.0031368232579749365, 1.0]]",437.8,839,296.8,985.2,251,250,660.4,659.6,
15,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,"[[1.3548619763085408, 0.5468413396604468, -681.8327325601566], [0.016662253851960244, 5.481295276854391, -1124.02486707124], [1.116221558906465e-05, 0.0031687686494080098, 1.0]]",434.4,835.2,293,981.4,253.2,252,662.8,661,
16,Anthony_Sinisuka_GINTING_Viktor_AXELSEN _Indonesia_Masters_2020_SemiFinals,"[[1.3439550721383038, 0.541240334410417, -679.136614601958], [0.011772745422799028, 5.437700540057186, -1101.0378463894494], [1.2456810555074671e-05, 0.00313835531444731, 1.0]]",437.6,838.8,296.8,985,251,250.2,659.8,659.4,
17,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,"[[1.3158927558961206, 0.7140890070772272, -682.4113838400405], [0.007528984104470149, 7.129885592964533, -1927.510710825851], [3.3125511614221086e-05, 0.003834866565751819, 1.0]]",389,901,217.6,1051.4,316.8,316.6,681.4,685.4,
18,Viktor_AXELSEN _SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,"[[2.544331557116645, 1.3646676543031346, -1486.310538679813], [-0.0805256529652851, 15.585993791577296, -5481.133129785165], [-4.946685191274817e-05, 0.007772472110897539, 1.0]]",413.2,886.6,281.8,1016.6,392.6,395,678.4,681.6,
19,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,"[[1.3142829203061641, 0.7171177491398998, -683.8223089655571], [0.010165180378890377, 7.182070484004725, -1948.5365180796657], [1.614773635878252e-05, 0.0038661896730184057, 1.0]]",389.6,901.2,217.8,1051.6,317.4,316.8,681.2,681.8,
20,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,"[[1.2903589963756108, 0.7034198857698534, -669.7510604468597], [-0.008472272286611203, 7.059868106745193, -1905.7044537336897], [-5.7404198891474114e-06, 0.003798372379828451, 1.0]]",388.8,900.4,216.8,1050.4,317.2,317.8,682,682.8,
21,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2613545196107576, 0.5190613070323121, -626.9076371691942], [0.015726607601158613, 5.874922865398807, -1505.55237057408], [8.232062295123455e-06, 0.0029199561011196773, 1.0]]",413.2,863.4,289.4,986.8,303.4,302.2,659,657.2,
22,Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2565677449958927, 0.5117948259499296, -622.3413504233607], [0.017899704300995283, 5.836123478556353, -1494.7156019594097], [7.245558776466834e-06, 0.0028966020382174195, 1.0]]",412.8,862.6,290.2,986.4,303.2,301.8,659.4,657,
23,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2049765445361083, 0.4712532186619585, -588.0864448025472], [-0.022499188132429987, 5.655248235276021, -1428.9125669559749], [-2.656611636133803e-05, 0.002771542520349543, 1.0]]",411.2,864,295.2,990.8,302.8,304.4,656.6,656.8,
24,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2127348915472842, 0.4724871702826476, -591.308280335244], [-0.02487296478672235, 5.6941586133894075, -1442.9978959427135], [-2.5826753017045172e-05, 0.002791443230716878, 1.0]]",410.8,863,295.6,990.4,303.6,305.4,656.6,657.4,
25,Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2027404432796367, 0.4651922410687205, -584.7889323792906], [-0.029594286746304207, 5.633025283764807, -1423.437728913039], [-2.805187837207046e-05, 0.0027511203325088157, 1.0]]",410.4,862.8,296,989.6,303.4,305.6,656.6,658,
26,Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2281615994201802, 0.5007529112054755, -608.0146919698522], [-0.004669709313989736, 5.717743425891395, -1447.3340488904664], [-1.546309742847567e-05, 0.002835614670238587, 1.0]]",413.2,863.6,290.2,987,302,302.2,659.2,657.6,
27,Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals,"[[1.2454713360219938, 0.5086861333343398, -616.7379978086947], [0.017899391044319535, 5.78722378892984, -1480.2094549869073], [8.602641647220215e-06, 0.0028640753448057883, 1.0]]",412.6,864.2,289.4,987.2,303,301.6,659.6,657.4,
28,Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,"[[1.256324959084942, 0.5102673740078231, -620.6643892427129], [0.024314393680928605, 5.82004851231856, -1488.689084549675], [1.8973395416193806e-05, 0.002892859641643104, 1.0]]",412.2,863.8,289.4,989,302.6,300.8,660.4,658.6,
29,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.26357219771513, 0.5154558602943657, -629.3771848119661], [0.024463806482716063, 5.858819486256212, -1515.1921525346988], [1.9051562461376703e-05, 0.0029043693616268946, 1.0]]",414.6,866.4,291.4,990.2,305.4,303.6,662.4,660.6,
30,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.257624734441973, 0.49084565365461913, -617.7234025722247], [-0.025535014153959913, 5.8818360940473875, -1527.2306621717835], [-2.3854683065695754e-05, 0.0028781805053113155, 1.0]]",411.4,858.2,297,982.8,309.4,311.2,658.8,660,
31,Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.27195548680162, 0.5017220685305571, -626.385701740138], [-0.023145403325115704, 5.975034593110787, -1556.4611968292013], [-2.211319029168089e-05, 0.002936324480879131, 1.0]]",411.2,857.8,295.8,983,309.8,311.4,658.4,659.4,
32,Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.2633881897866304, 0.5190861670997394, -629.5791903212639], [0.01590793054746185, 5.879315442167452, -1514.9034793221263], [9.78473850831535e-06, 0.0029348386833305453, 1.0]]",414.2,866.2,289.8,991.8,305,303.8,663.2,661.6,
33,Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.2485264164015892, 0.5150839451348136, -622.8160612441288], [0.006969073228492832, 5.822141176341662, -1495.1543169938072], [-1.1957046250649602e-06, 0.0028958125850157028, 1.0]]",414.4,866.6,289.6,990.4,304.8,304.2,662.4,660.8,
34,Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,"[[1.2486644860735727, 0.4900997077843735, -614.0480478657073], [-0.03142213006364037, 5.884403454191261, -1524.2720989017657], [-4.645019570152984e-05, 0.002889817790722042, 1.0]]",411.6,857.4,296.8,982.4,309,311,658.2,657,
35,Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,"[[1.2555533540354815, 0.5163205104811943, -626.1267348551839], [0.021135101417604076, 5.82075604626535, -1498.7525810726727], [1.3831857130409102e-05, 0.0028923649842115423, 1.0]]",414.6,866.8,289.8,990.2,304.6,303,663,661,
36,Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,"[[1.2458258500961155, 0.5116445855703554, -619.8921895784808], [0.008980761297971292, 5.812964433975632, -1489.9671331684328], [-3.5325730093177078e-06, 0.0028988412572262057, 1.0]]",414,866.4,289.6,991.8,304.2,303.4,662.8,660.4,
37,Viktor_Axelsen_Hans-Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,"[[1.267489275315501, 0.5158202899821954, -629.3449903680307], [0.038230108410832804, 5.868851873962166, -1525.1661515513065], [3.110620917708346e-05, 0.0029081621600676347, 1.0]]",413.2,866.4,290,990.8,305.8,303,663.6,661,
38,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2386677191975748, 0.5044181027592145, -614.9361953460232], [0.008686309647404574, 5.778278563976227, -1482.9815340656733], [-5.115075334415229e-06, 0.0028670177137528553, 1.0]]",413.8,866.4,290.8,991.2,304.6,303.8,662.4,659.8,
39,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2181960812875399, 0.4785742535078147, -596.0295541494885], [-0.024038194971610832, 5.717077501531219, -1461.2794663739778], [-3.462006018968606e-05, 0.002794974247235092, 1.0]]",410.6,860.4,294.6,984.6,305.6,307.2,657.4,656.6,
40,Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2255060424026853, 0.47696298241390145, -596.5727254235107], [-0.013529510657216252, 5.730742851517786, -1471.0121338775978], [-1.1727423403559351e-05, 0.00278390166130396, 1.0]]",409,860.4,294.4,984.4,306,307,656.6,657.4,
41,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2333335968084074, 0.48512282444149046, -603.7154132921111], [-0.02542777719466385, 5.782625734941326, -1477.2089273775778], [-2.6409605506579783e-05, 0.002837608795262587, 1.0]]",410.6,859.8,294.6,985.2,305.4,307.2,656.8,657.6,
42,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,"[[1.2525753835625857, 0.5103194777517027, -622.5549695124088], [0.025375537287164854, 5.817461793362739, -1502.0283246187075], [1.048540549660237e-05, 0.0028885650516388005, 1.0]]",414,866.4,290.6,991,305,303,663.4,660,
43,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,"[[1.2748402289006995, 0.5171886249928548, -632.5791638152884], [0.028723485952944976, 5.900302703570793, -1526.410873662765], [3.0495751613673334e-05, 0.002934574723728483, 1.0]]",413.4,865.6,290.8,991.6,305.2,303.2,662.8,662,
44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]",414.2,865.8,291.4,989.6,304.6,303.2,662.8,659.8,
45,Lakshya_SEN_LOH_Kean_Yew_YONEX_SUNRISE_India_Open_2022_ Finals,"[[2.062798646978643, 1.3484770388077614, -1106.8955429030589], [-0.07407451440361923, 11.709735314527238, -2683.759147373011], [-8.703176111901993e-05, 0.007908019832617911, 1.0]]",400.4,848.8,188.2,1077.6,271.6,274.2,658.8,659.4,0
46,Kunlavut_VITIDSARN_LEE_Zii_Jia_YONEX_GAINWARD_German_Open_2022_SemiFinals,"[[3.6918937860035324, 2.4080788821149857, -2177.238216951394], [0.0077124192115263735, 19.30624981333597, -4592.761943815321], [-6.922308902256727e-05, 0.01367687151315265, 1.0]]",445.8,827.2,236.4,1036.2,274.4,274,654.8,648.6,0
47,Akane_YAMAGUCHI_AN_Seyoung_YONEX_All_England_Open_Badminton_Championships_2022_Finals,"[[2.513325699494093, 1.3106968242763386, -1419.036058199646], [-0.07338137731615714, 15.089086432480453, -5290.21622689319], [-5.078374549491286e-05, 0.0075273091736554314, 1.0]]",403.2,870.2,276.8,1001.8,391.6,393.8,679.4,682,0
48,Viktor_AXELSEN_Lakshya_SEN_YONEX_All_England_Open_2022_Finals,"[[2.5619885648614202, 1.337408615831658, -1451.8132410361102], [-0.06929930823606165, 15.377858556778003, -5410.847094287408], [-5.4223557762276584e-05, 0.007671333505668226, 1.0]]",404.4,869.6,278.2,1000.4,392.6,394.6,679.6,681.6,0
49,AN_Seyoung_PUSARLA_V._Sindhu_Korea_Open_Badminton_Championships_2022_Semi_Final,"[[2.0151696566501807, 1.05755982263515, -1121.8857309817975], [-0.013385704248496793, 9.234268653784836, -2137.249386337726], [-2.1508535561861386e-06, 0.005768563665571007, 1.0]]",448,832.4,281.6,986.8,274,274.6,646.8,648.6,0
50,He_Bing_Jiao_Chen_Yu_Fei_GWANGJU_YONEX_Korea_Masters_2022_Final,"[[1.3308645164091648, 0.6976618174988704, -651.3229979631086], [-0.014843903646024097, 7.221172785477689, -1880.1637929361252], [-1.1376694237824684e-05, 0.004034525029765488, 1.0]]",374.2,877.8,209.6,1052.4,307.6,308.6,680.8,682,0
51,LEE_Zii_Jia_Kento_MOMOTA_Tota_Energies_BWF_Thomas_and_Uber_Cup_Finals_2022_Group D_Trim,"[[1.4515422694976712, 0.6350413609981628, -744.2738936798976], [0.04611838646271621, 8.158667654414328, -2764.9972328553154], [6.237266492455241e-05, 0.0035566312382886533, 1.0]]",391.2,889,281,1000.2,380.4,378,677.6,678.2,0
52,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,"[[1.4295463860672293, 0.6189215843396844, -732.2549453759308], [0.019984317443789465, 8.083824561667912, -2730.253412893915], [3.187460297338819e-05, 0.0035191403576255408, 1.0]]",392.6,889.6,284.2,1001.8,380.4,379.4,676.8,677.6,0
53,Viktor_AXELSEN_Anthony_Sinisuka_GINTING_DAIHATSU_INDONESIA_MASTERS_2022_Semifinals,"[[1.4691360971722105, 0.6457341621204867, -768.5790300964597], [-0.036105424392318, 6.424840492559715, -1452.988265493345], [-4.7029847136960454e-05, 0.003690962462560561, 1.0]]",439.4,843.6,297.4,988.2,275.2,277.2,658.6,658.2,0
54,CHEN_Yu_Fei_HE_Bing_Jiao_DAIHATSU_Indonesia_Masters_2022_Semifinals,"[[0.7770350499961634, 0.3451254137938581, -319.99893072674416], [0.013305714645217159, 3.4437422338531625, -423.67885120018735], [8.641581096350565e-06, 0.0019497014738877317, 1.0]]",379.4,904.2,199,1086,180.6,178.6,661,658,0
55,Wang_Zhi_Yi_He_Bing_Jiao_Indonesia_Open_2022_Semi_finals,"[[1.582515749075952, 0.6510917470758978, -831.0319745171545], [-0.002678187509151846, 6.525651394135998, -1530.4000234366717], [-1.785458367695341e-05, 0.0037221460460213317, 1.0]]",444.6,830.2,311.4,966.8,281.6,281.6,665.6,663.4,0
56,Viktor_AXELSEN_LEE_Zii_Jia_EAST_VENTURES_Indonesia_Open_2022_Semifinals,"[[1.6112607154327712, 0.6659131618670249, -849.1463290141623], [0.0011537699833514526, 6.659136381033358, -1572.0049573678516], [-1.3428037617636063e-05, 0.0038046246966995756, 1.0]]",445.4,829.8,312.2,966.4,282.6,282.4,664.8,662.6,0
57,Kento_MOMOTA_Kunlavut_VITIDSARN_Malaysia_Open_2022_ Semi_finals,"[[5.694366647630631, 3.335646069654039, -3495.9884989760476], [0.1608579156949042, 33.953026352144114, -11912.891361050348], [0.00011338467346899719, 0.01853788579046428, 1.0]]",427.8,861.2,285.8,999.2,385,383,670.8,668.2,0
58,Viktor_AXELSEN_Jonatan_CHRISTIE_Malaysia_Open_2022_SemiFinals,"[[5.75628385955774, 3.3689406166636773, -3533.4384258348496], [0.161897342090426, 34.39951285290102, -12065.607125967148], [0.00010678030538487424, 0.01877619138465399, 1.0]]",428,861,286.6,999.2,384.8,382.8,669.8,667,0
59,Viktor_AXELSEN_Kento_MOMOTA_PETRONAS_Malaysia_Open_2022_Finals,"[[5.99541375212802, 3.509187609977599, -3686.0072381882896], [0.18524572115234314, 35.86429618009439, -12619.011293893751], [0.00011754125846927645, 0.019572399664431483, 1.0]]",428.4,860.6,287.4,998.6,385.6,383.4,669.8,666.6,0
60,Ratchanok_INTANON_CHEN_Yu_Fei_PETRONAS_Malaysia_Open_2022_Finals,"[[5.793460835732053, 3.3887413095370347, -3560.547317416184], [0.16076123554635155, 34.6190526831124, -12156.680664984116], [9.11723705936385e-05, 0.01889269030767649, 1.0]]",428.6,860.8,287.4,998.6,385.2,383.2,666.8,670,0
61,Ratchanok_INTANON_WANG_Zhi_Yi_Malaysia_Open_2022_SemiFinals,"[[5.493783769657659, 3.2067559051175287, -3367.38712433021], [0.1370445362136259, 32.787998445258154, -11488.515764855436], [8.042584489641634e-05, 0.01787547403132466, 1.0]]",427.8,861.4,286.4,999.4,384.8,383,667.8,670.6,0
62,Chico_Aura_DWI_WARDOYO_LU_Guang_Zu_PERODUA_Malaysia_Masters_2022_Semifinals,"[[4.602576971391821, 2.704760665377344, -2779.378364252292], [0.060475911131875185, 27.629352388905836, -9630.069842230678], [2.262817943200667e-05, 0.015081681946368511, 1.0]]",418.4,862.8,273,1004.4,384.6,383.6,674.6,676.6,0
63,Chico_Aura_DWI_WARDOYO_NG_Ka_Long_Angus_Malaysia_Masters_2022_Finals,"[[4.5997093078067826, 2.6978774727793886, -2773.609008091426], [0.11546596968543553, 27.416399395978125, -9558.07700958675], [9.10211998703987e-05, 0.014972195634252172, 1.0]]",418.2,863.2,272.2,1004.8,384,382.2,675.4,677.4,0
64,An_Se_Young_Chen_Yu_Fei_PERODUA_Malaysia_Masters_2022_Finals,"[[4.735606292960176, 2.7745177723047387, -2856.7993592898633], [0.13259510036125063, 28.274026532004754, -9877.829620724493], [0.00010509538408512503, 0.015428165252928177, 1.0]]",418.4,862.8,273.2,1004.4,384.4,382.4,674.4,676.6,0
65,AN_Se_Young_Gregoria_Mariska_TUNJUNG_Malaysia_Masters_2022_SemiFinals,"[[4.4958187537491225, 2.6348559058311687, -2708.7598568750986], [0.0976133032112257, 26.847019316025158, -9342.318505156723], [5.9921761102797266e-05, 0.014655218297745127, 1.0]]",418.2,863.2,272.4,1004.8,383.6,382,674.6,677,0
66,EAST_VENTURES_Indonesia_Open_2022_Zhao_Jun_Peng_PRANNOY_H._S._Semifinals,"[[1.6486566954689927, 0.6830052841188515, -870.2235997095946], [0.01687383509691312, 6.8184581572175516, -1624.8706092510276], [4.282745741098087e-06, 0.0039039407982757023, 1.0]]",445.4,829.4,312.2,966.8,283.6,282.6,662.4,664.8,0
67,Kunlavut_VITIDSARN_ZHAO_Jun_ Peng_BWF_World_Championships_2022_SemiFinals,"[[1.1348771511353795, 0.4755343541838247, -545.6226487700527], [-0.016389992929760414, 6.024069797561899, -1773.397639551607], [-6.287221588488147e-06, 0.0027052134942237484, 1.0]]",383.4,892.6,266.2,1012.6,343.4,344.8,677,674.8,0
68,Akane_YAMAGUCHI_AN_Se_Young_BWF_World_Championships_2022_Semi_finals,"[[1.1355695737048186, 0.47480698195869675, -544.888345693065], [-0.01887069534102531, 6.019430611227905, -1767.1896700462628], [-8.142629866263927e-06, 0.00271317362453306, 1.0]]",383,891.8,265.8,1013,342.8,344.4,677.6,675.2,0
69,Viktor_Axelsen_Kunlavut_Vitidsarn_BWF_World_Championships_2022_Finals,"[[1.1436849591353124, 0.4791705764277452, -550.9381375879781], [-0.016808916216595058, 6.066330140839316, -1786.5036308319554], [-7.967578412089983e-06, 0.0027310286980122443, 1.0]]",384.2,891.4,267.2,1011.6,343.4,344.8,676.4,674.4,0
70,Akane_YAMAGUCHI_CHEN_Yu_Fei_BWF_World_Championships_2022_Finals,"[[1.1324282236451775, 0.47278426519930355, -543.4594263059612], [-0.01879698993749587, 5.9971383096704045, -1761.5740886874376], [-8.064337177229728e-06, 0.0026959160905141812, 1.0]]",383.2,892,266.2,1012.4,343,344.6,677.6,675.2,0
71,Kenta_NISHIMOTO_Anders_ANTONSEN_Japan_Open_2022_SemiFinals,"[[1.2422810872449632, 0.41260327838295396, -622.2901858260547], [-0.01773737849973295, 5.759546766109932, -1840.8110265229188], [-2.0331959325647857e-05, 0.0022985475879191202, 1.0]]",419,861.4,946,331.4,368.8,370,680.4,680.2,0
72,Akane_YAMAGUCHI_AN_Se_Young_DAIHATSU_YONEX_Japan_Open_2022_Finals,"[[1.2639251386480665, 0.42630367753805887, -637.8591838122269], [-0.009783144034264873, 5.8614087492211295, -1882.755962273155], [-1.5257563583604367e-05, 0.002353355979102867, 1.0]]",420.4,861.4,331.4,945.6,369.6,370.2,680.2,680.6,0
73,Akane_YAMAGUCHI_CHEN_Yu_Fei_England_Open_2022_Semi_finals,"[[2.5056167082627696, 1.3039176608252465, -1412.6743235766019], [-0.07064256207303612, 15.007730870671583, -5261.699202581795], [-3.538763581911734e-05, 0.007473809938519314, 1.0]]",402.8,870.4,276.6,1001.8,391.6,393.8,682.8,679.4,0
74,Busanan_ONGBAMRUNGPHAN_Supanida_KATETHONG_India_Open_2022_Finals,"[[2.026310993462281, 1.3241669777543474, -1084.914744929607], [-0.09416452038300639, 11.507660674050154, -2631.7520855858124], [-0.00010614552939852143, 0.007771988587496254, 1.0]]",399.2,848.6,186.4,1077.8,272,275.4,662,660.6,0
75,Lakshya_SEN_LEE_Zii_Jia_All_England_Open_2022_SemiFinals,"[[2.502998081396016, 1.3095992853623921, -1416.6261143047657], [-0.08736816205691995, 15.0486015732943, -5273.980881335213], [-6.498970866195847e-05, 0.007499033439923788, 1.0]]",403.8,870.2,277.2,1000.8,391.8,394.4,681.8,679,0
76,Jonatan_CHRISTIE_KIDAMBI_Srikanth_Korea_Open_Badminton_Championships_2022_SemiFinals,"[[2.005016077454762, 1.0530949531000233, -1116.478299797126], [-0.018650904564660654, 9.179436145877869, -2114.7339076202443], [-8.75177895360411e-06, 0.005742160533106755, 1.0]]",448.4,832.2,281.6,986.6,273.2,274,648.4,646.6,0
77,Supanida_KATETHONG_PUSARLA_V._Sindhu_India_Open_2022_SemiFinals,"[[2.015446566132297, 1.3078492880309887, -1081.4939271511416], [-0.09860188774793335, 11.432368686402256, -2608.163051050501], [-0.00010726609789448855, 0.007700418369676245, 1.0]]",401.8,850.2,191.6,1078.4,271.6,275.2,660.4,658.4,0
78,Busanan_ONGBAMRUNGPHAN_Aakarshi_KASHYAP_YONEX_SUNRISE_India_Open_2022_Semifinals,"[[2.058535059415759, 1.3423413381896103, -1108.8404294000152], [-0.0794173590712203, 11.686090971380343, -2685.086262573219], [-9.214018150094286e-05, 0.007875890436965512, 1.0]]",402.4,850.8,191.2,1078.6,272.4,275.2,659.6,658.8,0
79,Lee_Zii_Jia_Li_Shi_Feng_GR_TOYOTA_GAZOO_RACING_Thailand_Open_2022_Finals,"[[1.1278799636985777, 0.4539697019464414, -537.6330972817226], [-0.01323929058172821, 6.1119185876528395, -1823.0019981884186], [-2.7332720099561718e-05, 0.0026190438999838944, 1.0]]",383.6,884.2,277.4,994.8,345.6,346.4,657.6,659.2,0
80,LI_Shi_Feng_Kodai_NARAOKAGR_Thailand_Open_2022_Semi_finals,"[[1.1162838870886547, 0.4512592924883444, -535.7490025039998], [-0.0228615131822701, 6.053607942904232, -1805.2424636507933], [-3.2286533123497085e-05, 0.002593697710098583, 1.0]]",386.2,889.2,279,999.8,346.4,348,660.8,661.4,0
